"","Location","Site","Circle","Transect","Species","cover","n","SiteID"
"323","Inner","Nikko Bay",4,2,"Goniastrea spp.",4.5,4,"F"
"326","Inner","Nikko Bay",4,2,"Isopora cf. brueggemanni",0,0,"F"
"327","Inner","Nikko Bay",4,2,"Lobophyllia spp.",0,0,"F"
"329","Inner","Nikko Bay",4,2,"Montipora",0,0,"F"
"330","Inner","Nikko Bay",4,2,"Other Lobophyllidae",0,0,"F"
"331","Inner","Nikko Bay",4,2,"Other Merulinidae",0.5,1,"F"
"332","Inner","Nikko Bay",4,2,"Other Pocillopora",0,0,"F"
"333","Inner","Nikko Bay",4,2,"Other Scleractinia",0,0,"F"
"334","Inner","Nikko Bay",4,2,"Pocillopora cf. damicornis",0,0,"F"
"335","Inner","Nikko Bay",4,2,"Pocillopora cf. verrucosa",0,0,"F"
"336","Inner","Nikko Bay",4,2,"Porites cf. cylindrica",9.3,6,"F"
"337","Inner","Nikko Bay",4,2,"Porites Massive",3.2,3,"F"
"338","Inner","Nikko Bay",4,2,"Porites cf. nigrescens",0,0,"F"
"339","Inner","Nikko Bay",4,2,"Porites cf. rus",8.6,4,"F"
"341","Inner","Nikko Bay",4,2,"Stylophora cf. pistillata",0,0,"F"
"343","Inner","Nikko Bay",4,3,"Acropora cf. subglabra",0.7,1,"F"
"344","Inner","Nikko Bay",4,3,"Acropora cf. humilis",0,0,"F"
"345","Inner","Nikko Bay",4,3,"Acropora cf. hyacinthus",0,0,"F"
"346","Inner","Nikko Bay",4,3,"Acropora cf. muricata",0,0,"F"
"347","Inner","Nikko Bay",4,3,"Acropora cf. tenuis",0,0,"F"
"348","Inner","Nikko Bay",4,3,"Agariciidae",0,0,"F"
"349","Inner","Nikko Bay",4,3,"Anacropora spinosa",2.2,2,"F"
"352","Inner","Nikko Bay",4,3,"Fungiidae",1,1,"F"
"354","Inner","Nikko Bay",4,3,"Goniastrea spp.",0,0,"F"
"357","Inner","Nikko Bay",4,3,"Isopora cf. brueggemanni",0,0,"F"
"358","Inner","Nikko Bay",4,3,"Lobophyllia spp.",1.4,2,"F"
"360","Inner","Nikko Bay",4,3,"Montipora",0,0,"F"
"361","Inner","Nikko Bay",4,3,"Other Lobophyllidae",0,0,"F"
"362","Inner","Nikko Bay",4,3,"Other Merulinidae",0,0,"F"
"363","Inner","Nikko Bay",4,3,"Other Pocillopora",0,0,"F"
"364","Inner","Nikko Bay",4,3,"Other Scleractinia",0,0,"F"
"365","Inner","Nikko Bay",4,3,"Pocillopora cf. damicornis",3.3,1,"F"
"366","Inner","Nikko Bay",4,3,"Pocillopora cf. verrucosa",0,0,"F"
"367","Inner","Nikko Bay",4,3,"Porites cf. cylindrica",8.4,5,"F"
