,Site,IMG,planar_area,n_branches,n_in_area,branch_width1,branch_width2,branch_width3,corallite_width,n_corallites,box_width,IMG_side,colony_height,branch_height1,branch_height2,branch_height3,base_width,top_width,colour
40,Site 2,IMG_1467,50,82,9,0.25,0.21,0.27,0.04,27,0.25,IMG_1468,6.1,0.63,0.91,0.79,3.43,12.32,red_brown
41,Site 2,IMG_1469,65.7,45,65.7,1.17,0.86,0.97,0.03,26,0.25,IMG_1470,3.1,1.17,1.2,1.1,6.84,8.7,red_brown
42,Site 2,IMG_1471,5.3,25,5.3,0.4,0.38,0.42,0.01,74,0.25,IMG_1472,1.02,0.58,0.6,0.5,2.5,3.5,pale_brown
43,Site 2,IMG_1473,1668.6,52,4,0.18,0.18,0.16,0.04,20,0.25,IMG_1474,6.8,0.25,0.3,0.31,14.5,52.4,brown
44,Site 2,IMG_1475,367,23,25,0.36,0.34,0.45,0.04,20,0.25,IMG_1476,6.95,2.3,2.4,2.5,11.5,12,pale_brown
45,Site 2,IMG_1477,71.4,55,4,0.14,0.16,0.15,0.03,20,0.25,IMG_1478,2.8,0.46,0.52,0.5,2.4,10.3,brown
46,Site 2,IMG_1479,955.5,23,25,0.46,0.43,0.43,0.04,16,0.25,IMG_1480,12.92,2.1,2.05,2.1,29.7,34.1,pale_brown
47,Site 2,IMG_1481,621,27,25,0.44,0.35,0.3,0.04,11,0.25,IMG_1482,10.2,1.6,2.1,1.8,26.6,27.5,pale_brown
48,Site 2,IMG_1483,155.3,44,36,0.36,0.35,0.45,0.05,12,0.25,IMG_1484,7.06,3.5,2.6,3.3,11.2,15.8,pale_brown
49,Site 2,IMG_1485,74.2,30,9,0.32,0.2,0.23,0.06,16,0.3,IMG_1486,3.03,0.5,0.43,0.4,3.5,5,pale_brown
50,Site 2,IMG_1487,12.9,56,12.9,0.23,0.18,0.2,0.04,17,0.25,IMG_1488,2.1,0.8,0.8,0.7,3.6,4.1,pale_brown
51,Site 2,IMG_1489,96.9,60,25,0.31,0.31,0.33,0.04,28,0.25,IMG_1490,15.9,2.1,3.3,2.2,9.8,15.8,brown
52,Site 2,IMG_1491,771.9,64,16,0.31,0.34,0.32,0.05,13,0.25,IMG_1492,24.01,0.66,0.81,0.65,2.7,5.5,pale_brown
53,Site 2,IMG_1493,6.9,1,6.9,2.92,NA,NA,0.16,13,0.5,IMG_1494,4.92,4.92,NA,NA,5.5,4.4,pale_brown
54,Site 3,IMG_1502,69.7,47,4,0.19,0.15,0.15,0.03,28,0.25,IMG_1503,3.44,0.92,0.91,0.98,6.1,14.94,red_brown
55,Site 3,IMG_1505,131.8,33,25,0.54,0.46,0.47,0.06,7,0.25,IMG_1506,5.33,1.64,1.37,1.46,9.4,14.1,pale_yellow
56,Site 3,IMG_1507,128.3,87,128.3,0.66,0.6,0.62,0.07,21,0.25,IMG_1508,5.6,1.95,2.3,1.4,7.5,9.6,pale_brown
57,Site 3,IMG_1509,122.7,30,9,0.38,0.32,0.3,0.04,16,0.3,IMG_1510,3.96,0.91,0.88,0.98,6.57,10.54,pale_yellow
58,Site 3,IMG_1511,272.6,22,25,0.57,0.53,0.45,0.05,22,0.3,IMG_1512,8.5,2.1,2,2,13.75,18.7,blue
59,Site 3,IMG_1513,28.2,63,28.2,0.3,0.41,0.43,0.04,16,0.25,IMG_1514,6.06,1.9,1.8,1.6,6,9.4,brown
60,Site 3,IMG_1515,190,20,16,0.5,0.52,0.6,0.04,10,0.25,IMG_1516,4.7,1.2,1.1,0.93,7.5,10,pale_brown
61,Site 3,IMG_1517,12.03,57,12.03,0.24,0.28,0.27,0.05,15,0.25,IMG_1518,2,0.7,0.6,0.8,1.6,2.9,pale_brown
62,Site 3,IMG_1519,13.28,60,13.28,0.27,0.29,0.33,0.07,10,0.25,IMG_1520,4.07,1.1,1.08,1.06,3.53,4.51,pale_brown
63,Site 3,IMG_1521,63.5,45,63.5,0.45,0.55,0.6,0.06,16,0.25,IMG_1522,4.81,2.29,2.24,1.7,4.36,7.21,pale_brown
64,Site 3,IMG_1523,28,34,28,0.6,0.58,0.5,0.06,18,0.25,IMG_1524,4.58,1.9,1.7,1.6,4.2,5.5,pale_brown
65,Site 3,IMG_1526,12.1,18,12.1,0.23,0.26,0.23,0.02,37,0.25,IMG_1526,2,1.1,1.2,1.3,3.9,5.4,pale_yellow
